"Common Names","Watering Period","Sun Requirements","Resistances","Image","Scientific Name","Description"
"Lily Pad","No Watering Period","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=iTxRe7HY3W%401.jpg","Nymphaeaceae","Nymphaeaceae /ˌnɪmfiːˈeɪsiː/ is a family of flowering plants, commonly called water lilies. They live as rhizomatous aquatic herbs in temperate and tropical climates around the world. The family contains five genera with about 70 known species. Water lilies are rooted in soil in bodies of water, with leaves and flowers floating on or emergent from the surface. Leaves are round, with a radial notch in Nymphaea and Nuphar, but fully circular in Victoria and Euryale. It is the national flower of Bangladesh."
"Majesty Palm","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=Vj0A84WgI7%402.jpg","Ravenea Rivularis","Ravenea rivularis, the majestic palm, or majesty palm, is a species of tree in the family Arecaceae. They generally grow to 10 to 12 feet tall and are often marketed in stores as a ""houseplant"" in a pot, in its natural state, the majesty palm may sometimes grow to 98 feet (30 meters) tall.

The palm has upward-arching leaves divided into long, thin fingers. It is native to Madagascar; however, it is believed only about 900 plants are currently alive in the wild according to an assessment conducted in 2010. The species grows in several regions of Madagascar, but because those regions are totally surrounded and separated by desert, the natural spread of the species is limited. Despite its fragility as a species in the wild, it has become a very popular houseplant due to its beautiful leaves and slow-growing nature."
"Snake Plant","10-14 Days","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=Vyff826J08%403.jpg","Dracaena Trifasciata","It is an evergreen perennial plant forming dense stands, spreading by way of its creeping rhizome, which is sometimes above ground, sometimes underground. Its stiff leaves grow vertically from a basal rosette. Mature leaves are dark green with light gray-green cross-banding and usually range from 70–90 centimetres (2.3–3.0 ft) long and 5–6 centimetres (2.0–2.4 in) wide, though it can reach heights above 2 m (6 ft) in optimal conditions."
"Lucky Bamboo","7-10 Days","Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=9oKvgc3Lmi%404.jpg","Dracaena Sanderiana","A perennial herb reaching a height of 100 cm (39 in), the plant has slightly twisted leaves of grey-green colour, with a length of which is up to 23 cm (9 in). The stem is fleshy, which distinguishes it from bamboo. It requires bright, ventilated areas. It tolerates dry air and does not require constant spraying. A very tenacious plant, it is rather difficult to destroy it."
"Golden Pothos","1-2 Weeks","Partial Shade","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=oyC33CrZ23%405.jpg","Epipremnum Aureum","Epipremnum aureum is an evergreen vine growing to 20 m (66 ft) tall, with stems up to 4 cm (2 in) in diameter, climbing using aerial roots which adhere to surfaces. The leaves are alternate, heart-shaped, entire on juvenile plants, but irregularly pinnatifid on mature plants, up to 100 cm (39 in) long and 45 cm (18 in) broad; juvenile leaves are much smaller, typically under 20 cm (8 in) long."
"Croton","4-7 Days","Partial Shade","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=7O0IdWlt6b%406.jpg","Codiaeum Variegatum","t is a tropical, evergreen, monoecious shrub growing to 3 m (9.8 ft) tall and has large, thick, leathery, shiny evergreen leaves, alternately arranged, 5–30 cm (2.0–11.8 in) long and 0.5–8 cm (0.20–3.15 in) broad. The leaf blades can, for example, be ruler-lanceolate, oblong, elliptic, lanceolate, ovate inverted, ovate spatulate, or violin-shaped and coloured green, yellow, or purple in various patterns, depending on the variety. The petiole has a length of 0.2 to 2.5 cm. The inflorescences are long racemes, 8–30 cm (3.1–11.8 in) long, with male and female flowers on separate inflorescences; the male flowers are white with five small petals and 20–30 stamens, pollens are oval approximately 52x32 microns in size. The female flowers yellowish, with no petals. The flowering period is usually in early autumn. The fruit is a capsule 9 mm (0.35 in) in diameter, containing three seeds that are 6 mm (0.24 in) in diameter. When cut, stems bleed a milky sap like many of the Euphorbiaceae."
"Chamomile","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=sV94Z2EddB%407.jpg","Matricaria Chamomilla","Matricaria chamomilla is a member of the Asteraceae family, native to southern and eastern Europe. Today the plant can be found on all continents.[6] It has a branched, erect and smooth stem, which grows to a height of 15–60 cm (6–23.5 in). The long and narrow leaves are bipinnate or tripinnate. The flowers are borne in paniculate flower heads (capitula). The white ray florets are furnished with a ligule, while the disc florets are yellow. The hollow receptacle is swollen and lacks scales. This property distinguishes German chamomile from corn chamomile (Anthemis arvensis), which has a receptacle with scales. The flowers bloom in early to midsummer, and have a strong, aromatic smell."
"Hibiscus","1-3 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=4x2KDTBDMd%408.jpg","Hibiscus","The leaves are alternate, ovate to lanceolate, often with a toothed or lobed margin (dentate). The flowers are large, conspicuous, trumpet-shaped, with five or more petals, colour from white to pink, red, blue, orange, peach, yellow or purple, and from 4–18 cm broad."
"Butterfly Pea","5-7 Days","Partial Shade","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=2boAnGu754%409.jpg","Clitoria Ternatea","It is a perennial herbaceous plant, with elliptic, obtuse leaves. It grows as a vine or creeper, doing well in moist, neutral soil. Its most striking feature is the color of its flowers, a vivid deep blue; solitary, with light yellow markings. They are about 4 cm (1.6 in) long by 3 cm (1.2 in) wide. Some varieties yield white flowers.

The fruits are 5–7 cm (2.0–2.8 in) long, flat pods with six to ten seeds in each pod. They are edible when tender."
"Lotus","No Watering Period","Partial Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=p6Pjm458s8%4010.jpg","Nelumbo Nucifera","The roots of lotus are planted in the soil of the pond or river bottom, while the leaves float on the water's surface or are held well above it. The flowers are usually found on thick stems rising several centimeters above the leaves. The leaf stalks (petioles) can be up to 200 cm (6 ft 7 in) long, allowing the plant to grow in water to that depth, and a horizontal spread of 1 m (3 ft 3 in). The leaves may be as large as 80 cm (31 in) in diameter, while the showy flowers can be up to 30 cm (12 in) in diameter, but fourteen inches (35 centimeters) has been frequently reported. Some cultivated varieties have extraordinary numbers of petals. For example, the Chinese variety Qian Ban Lian (""Thousand Petals Lotus"") can have between 3000 and 4000 petals in a single blossom and the Japanese variety Ohmi Myoren (""strange lotus""), can have between 2000 and 5000 petals, the greatest number recorded for any species of plant."
"Peacock Flower","2-5 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=6UNJM6k724%4011.jpg","Caesalpinia Pulcherrima","It is a shrub growing to 3 m tall. In climates with few to no frosts, this plant will grow larger and is semievergreen. In Hawaii this plant is evergreen and grows over 5 m tall. Grown in climates with light to moderate freezing, plant will die back to the ground depending on cold, but will rebound in mid- to late spring. This species is more sensitive to cold than others. The leaves are bipinnate, 20–40 cm long, bearing three to 10 pairs of pinnae, each with six to 10 pairs of leaflets 15–25 mm long and 10–15 mm broad. The flowers are borne in racemes up to 20 cm long, each flower with five yellow, orange, or red petals. The fruit is a pod 6–12 cm long."
"Carnation","1-2 Weeks","Partial Shade","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=wLNlnV6ihO%4012.jpg","Dianthus Caryophyllus","Dianthus caryophyllus is a herbaceous perennial plant growing up to 80 cm (31+1⁄2 in) tall. The leaves are glaucous greyish green to blue-green, slender, up to 15 cm (6 in) long. The flowers are produced singly or up to five together in a cyme; they are around 3–5 cm (1+1⁄4–2 in) diameter, and sweetly scented; the original natural flower color is bright pinkish-purple, but cultivars of other colors, including red, white, yellow, blue and green, along with some white with colored striped variations have been developed. The fragrant, hermaphrodite flowers have a radial symmetry. The four to six surrounding the calyx, egg-shaped, sting-pointed scales leaves are only ¼ as long as the calyx tube."
"Moth Orchid","7-10 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=NwrS40k6kV%4013.jpg","Phalaenopsis","Orchids in the genus Phalaenopsis are monopodial epiphytic, sometimes lithophytic herbs with long, coarse roots with pneumatodes and short leafy stems hidden by overlapping leaf bases. The leaves are usually arranged in two rows, relatively large and leathery, oblong to elliptic and sometimes succulent. A few to many, small to large, long-lasting, flat, often fragrant flowers are arranged on erect to hanging racemes or panicles. The sepals and petals are free from and spread widely apart from each other. The lateral sepals are usually larger than the dorsal sepal and the petals much wider than the sepals. The labellum is joined stiffly to the column and has three lobes. The side lobes are erect and more or less parallel to each other and the middle lobe sometimes has a pair of appendages or antennae."
"Tulip","1-2 Weeks","Full Sun","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=1N39PSkMSg%4014.jpg","Tulipa","Tulipa (tulips) is a genus of spring-blooming perennial herbaceous bulbiferous geophytes, dying back after flowering to an underground storage bulb. Depending on the species, tulip plants can be between 10 and 70 cm (4 and 28 inches) high.

Flowers: The tulip's flowers are usually large and are actinomorphic (radially symmetric) and hermaphrodite (contain both male (androecium) and female (gynoecium) characteristics), generally erect, or more rarely pendulous, and are arranged more usually as a single terminal flower, or when pluriflor as two to three (e.g. Tulipa turkestanica), but up to four, flowers on the end of a floriferous stem (scape), which is single arising from amongst the basal leaf rosette. In structure, the flower is generally cup or star shaped. As with other members of Liliaceae the perianth is undifferentiated (perigonium) and biseriate (two whorled), formed from six free (i.e. apotepalous) caducous tepals arranged into two separate whorls of three parts (trimerous) each. The two whorls represent three petals and three sepals, but are termed tepals because they are nearly identical. The tepals are usually petaloid (petal like), being brightly coloured, but each whorl may be different, or have different coloured blotches at their bases, forming darker colouration on the interior surface. The inner petals have a small, delicate cleft at the top, while the sturdier outer ones form uninterrupted ovals."
"Chrysanthemum","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=20UnrDa526%4015.jpg","Chrysanthemum","Wild Chrysanthemum taxa are herbaceous perennial plants or subshrubs. They have alternately arranged leaves divided into leaflets with toothed or occasionally smooth edges. The compound inflorescence is an array of several flower heads, or sometimes a solitary head. The head has a base covered in layers of phyllaries. The simple row of ray florets is white, yellow, or red; many horticultural specimens have been bred to bear many rows of ray florets in a great variety of colors. The disc florets of wild taxa are yellow. Pollen grains are appropriately 34 microns. The fruit is a ribbed achene. Chrysanthemums start blooming early in the autumn. This is also known as the favorite flower for the month of November."
"Poison Ivy","No Watering Period","Any","Literally Everything. It Can't Die.","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=5TqTA174ej%4016.jpg","Toxicodendron Radicans","The deciduous leaves of T. radicans are trifoliate with three almond-shaped leaflets. Leaf color ranges from light green (usually the younger leaves) to dark green (mature leaves), turning bright red in fall; though other sources say leaves are reddish when expanding, turn green through maturity, then back to red, orange, or yellow in the fall. The leaflets of mature leaves are somewhat shiny. The leaflets are 3–12 cm (1.2–4.7 in) long, rarely up to 30 cm (12 in). Each leaflet has a few or no teeth along its edge, and the leaf surface is smooth. Leaflet clusters are alternate on the vine, and the plant has no thorns. Vines growing on the trunk of a tree become firmly attached through numerous aerial rootlets. The vines develop adventitious roots, or the plant can spread from rhizomes or root crowns. The milky sap of poison ivy darkens after exposure to the air."
"Daisy","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=XtrYdfBixI%4017.jpg","Bellis Perennis","It is a perennial herbaceous plant with short creeping rhizomes and rosettes of small rounded or spoon-shaped leaves that are from 3/4 to 2 inches (approx. 2–5 cm) long and grow flat to the ground. The species habitually colonises lawns, and is difficult to eradicate by mowing – hence the term 'lawn daisy'. It exhibits the phenomenon of heliotropism where the flowers follow the position of the sun in the sky."
"Siberian Iris","10-14 Days","Partial Shade","Cold","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=186YldCmxA%4018.jpg","Iris Sibirica","It has green grass-like leaves, which are ribbed and can sometimes have a pink tinge at the base of the leaf. They can grow to between 25–80 cm (10–31 in) long and 0.4–0.6 cm (0.16–0.24 in) wide, normally shorter than the flowering stems. In Autumn, the foliage turns yellow and then dies back (in winter), to re-emerge in the spring."
"Russian Sage","3-4 Weeks","Full Sun","Cold","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=9V70x5g23f%4019.jpg","Perovskia Atriplicifolia","The grayish-green leaves are arranged in opposite pairs, and attached to the stems by a short petiole. They are generally 3–5 cm long (1.2–2.0-inch) and 0.8–2 cm wide (0.3–0.8-inch), although narrower in some populations. The overall leaf shape is oblate, a rounded shape longer than it is wide, to lanceolate, shaped like the head of a lance. They are pinnatipartite, with a deeply incised leaf margin that may be either wavy or sharp-toothed; even within a single community of S. yangii, there can be considerable variation in the details of leaf shape. Leaves near the top of branches may merge into bracts. The foliage is aromatic, especially when crushed, with a fragrance described as sage-like, a blend of sage and lavender, or like turpentine."
"Aloe Vera","2-3 Weeks","Full Sun","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=SlyEh56fQi%4020.jpg","Aloe Varbadensis Miller","Aloe vera is a stemless or very short-stemmed plant growing to 60–100 centimetres (24–39 inches) tall, spreading by offsets. The leaves are thick and fleshy, green to grey-green, with some varieties showing white flecks on their upper and lower stem surfaces. The margin of the leaf is serrated and has small white teeth. The flowers are produced in summer on a spike up to 90 cm (35 in) tall, each flower being pendulous, with a yellow tubular corolla 2–3 cm (3⁄4–1+1⁄4 in) long. Like other Aloe species, Aloe vera forms arbuscular mycorrhiza, a symbiosis that allows the plant better access to mineral nutrients in soil."
"Rose","10-14 Days","Full Sun","Delicate","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=Kl6Dsowtr6%4021.jpg","Rosa","The leaves are borne alternately on the stem. In most species they are 5 to 15 centimetres (2.0 to 5.9 in) long, pinnate, with (3–) 5–9 (–13) leaflets and basal stipules; the leaflets usually have a serrated margin, and often a few small prickles on the underside of the stem. Most roses are deciduous but a few (particularly from Southeast Asia) are evergreen or nearly so.

The flowers of most species have five petals, with the exception of Rosa sericea, which usually has only four. Each petal is divided into two distinct lobes and is usually white or pink, though in a few species yellow or red. Beneath the petals are five sepals (or in the case of some Rosa sericea, four). These may be long enough to be visible when viewed from above and appear as green points alternating with the rounded petals. There are multiple superior ovaries that develop into achenes. Roses are insect-pollinated in nature."
"Petunia","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=z1K2DJrBL7%4022.jpg","Petunia Hybrida","Petunias can tolerate relatively harsh conditions and hot climates, but not frost. They need at least five hours of sunlight every day and flourish in moist soil and conditions of low atmospheric humidity. They are best grown from seed. Watering once a week should be sufficient in most regions. Hanging baskets and other containers need more frequent watering. Maximum growth occurs in late spring. Applying fertilizer monthly or weekly, depending on the variety, will help the plant grow quickly."
"Peony","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=S44E8PNTh3%4023.jpg","Paeonia Lactiflora","It is 50–70 cm (20–28 in) tall and broad, with 9-lobed leaves 20–40 cm (8–16 in) long.

The flower buds appear in late spring (May in the Northern Hemisphere). They are large and round, opening into fragrant, cup- or bowl-shaped flowers 8–16 cm (3–6 in) in diameter, with 5–10 white, pink, or crimson petals and yellow stamens. The plant attracts butterflies. Its habitats include dry open stony slopes, riverbanks and sparse woodland edges."
